n_1	n_2	n_3	t_01	c_02	c_01
1	1	1	1493913604518	3357165528367806273	14590537847198882611
1	1	1	1493913604540	3357165528367806273	14590537847198882611
7	1	1	1493913604584	6648472193321585296	14590537847198882611
8.5	1	1	1493913604587	1801431999810370137	14590537847198882611
7	1	1	1493913604596	14475392532262432119	14590537847198882611
1	1	1	1493913604716	10189949036338060394	14590537847198882611
19	1	1	1493913606503	10469879042194243070	2502521354834814238
26.5	1	1	1493913606532	2665815103940912083	2502521354834814238
1	1	1	1493913607532	10503878146262666097	17939382046334772348
19	1	1	1493913607541	10469879042194243070	17939382046334772348
26.5	1	1	1493913607638	2665815103940912083	17939382046334772348
1	1	1	1493913607689	7882169468238331454	17939382046334772348
1	1	1	1493913607780	9644117629515919242	17939382046334772348
323.5	1	1	1493913609681	9010599618485218729	50123617121284077
1	1	1	1493913612509	7707957319478415371	9488101314102954095
1	1	1	1493913612667	2912395007609170358	9488101314102954095
1	1	1	1493913612763	3530759260961072008	9488101314102954095
1	1	1	1493913612767	7750113260883508388	9488101314102954095
1	1	1	1493913619713	17182751344479566837	6055811405371239305
1	1	1	1493913622521	16270325575650130306	6861504253378015496
10	1	1	1493913622525	18277155309485317777	6861504253378015496
10	1	1	1493913622528	18277155309485317777	6861504253378015496
1	1	1	1493913622540	4097475738091023810	6861504253378015496
1	1	1	1493913622556	3447487909374375982	6861504253378015496
1	1	1	1493913622557	6959936082153545889	6861504253378015496
1	1	1	1493913622564	17686479970923606440	6861504253378015496
1	1	1	1493913622577	12575911765165677538	6861504253378015496
10	1	1	1493913622592	9077615989125334657	6861504253378015496
1	1	1	1493913622607	4237331064773336951	6861504253378015496
38.5	1	1	1493913622612	11464297685141444301	6861504253378015496
1	1	1	1493913622618	14763243817905105918	6861504253378015496
4	1	1	1493913622622	13303196884855093814	6861504253378015496
7	1	1	1493913622633	14475392532262432119	6861504253378015496
4	1	1	1493913622635	6409821024638183003	6861504253378015496
1	1	1	1493913622646	8664718901548424607	6861504253378015496
1	1	1	1493913622656	3835166465765776683	6861504253378015496
4	1	1	1493913622668	2306293516632017215	6861504253378015496
1	1	1	1493913622678	7394035962023899166	6861504253378015496
10	1	1	1493913622682	7692417240246312261	6861504253378015496
1	1	1	1493913622684	8878828325151169916	6861504253378015496
1	1	1	1493913622685	12403696085892813048	6861504253378015496
2.5	1	1	1493913622688	18366792803783431068	6861504253378015496
5.5	1	1	1493913622688	15596424514926685300	6861504253378015496
1	1	1	1493913622691	12806969774292955024	6861504253378015496
1	1	1	1493913622691	3054879351439382847	6861504253378015496
1	1	1	1493913622694	13579572935873721061	6861504253378015496
4	1	1	1493913622695	8713501508307098951	6861504253378015496
5.5	1	1	1493913622720	14660019741919913909	6861504253378015496
1	1	1	1493913622732	7012719118334409300	6861504253378015496
1	1	1	1493913622738	12780902200673332438	6861504253378015496
4	1	1	1493913622740	13303196884855093814	6861504253378015496
16	1	1	1493913622757	9544145203823252426	6861504253378015496
8.5	1	1	1493913622770	16711113943393759208	6861504253378015496
7	1	1	1493913622773	2863433269505777851	6861504253378015496
1	1	1	1493913622776	3429925126979541675	6861504253378015496
7	1	1	1493913622776	17386056714204319804	6861504253378015496
13	1	1	1493913622783	17182751344479566837	6861504253378015496
1	1	1	1493913622794	10611007961394538213	6861504253378015496
1	1	1	1493913623508	3447487909374375982	10044703354230514046
7	1	1	1493913623576	15259195374027767793	9854884682722405762
10	1	1	1493913625763	7985670548375794668	2625266566191646903
1	1	1	1493913626676	2751643675077940354	11961342100825321878
1	1	1	1493913626773	11532058096777944230	11961342100825321878
1	1	1	1493913628525	6561622699157249362	4467229111970461519
1	1	1	1493913628563	14660019741919913909	4467229111970461519
1	1	1	1493913628616	7985670548375794668	4467229111970461519
1	1	1	1493913628693	2912395007609170358	4467229111970461519
1	1	1	1493913628778	4292633969877387049	4467229111970461519
1	1	1	1493913639502	13303196884855093814	7378716975272806602
5.5	1	1	1493913639516	14949130648435794949	1933241178137177906
1	1	1	1493913639527	227342029213298138	7378716975272806602
1	1	1	1493913639527	8896229822258699375	7378716975272806602
1	1	1	1493913639529	13463355962243051482	7378716975272806602
1	1	1	1493913639530	7255543177891735343	7378716975272806602
1	1	1	1493913639538	17182751344479566837	7378716975272806602
1	1	1	1493913639547	12946279604504358647	7378716975272806602
1	1	1	1493913639548	6170152359000037503	7378716975272806602
1	1	1	1493913639552	4773248326628598629	7378716975272806602
1	1	1	1493913639559	6561622699157249362	7378716975272806602
1	1	1	1493913639565	3863513930385715561	7378716975272806602
1	1	1	1493913639573	1903912195931440818	7378716975272806602
1	1	1	1493913639579	2998441518062379896	7378716975272806602
1	1	1	1493913639583	1666884223470062653	7378716975272806602
1	1	1	1493913639585	14660019741919913909	7378716975272806602
1	1	1	1493913639585	71671206051851324	7378716975272806602
1	1	1	1493913639591	4477716336205849670	7378716975272806602
1	1	1	1493913639595	2306293516632017215	7378716975272806602
1	1	1	1493913639602	8952785082608983266	7378716975272806602
1	1	1	1493913639608	6759184524191041901	7378716975272806602
1	1	1	1493913639611	15408444236104520168	7378716975272806602
1	1	1	1493913639615	12421511285382816632	7378716975272806602
1	1	1	1493913639615	8940113311975367378	7378716975272806602
