c_01	c_1	c_2	n_1	n_2	c_3	c_4	c_5	n_3	c_6	t_1	n_4	n_5	n_6	n_7	n_8	n_9	n_10	n_11	n_12	n_13	n_14	n_15	n_16	n_17	n_18	n_19	n_20	n_21	n_22	c_7	n_23	n_24	n_25	n_26	n_27
7857015818808240760	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
1940685345704822677	14771401151246747869	9722599372422752642	174.878	43.9273	18333545852832717167	15235812313373064180	16244310678531341320	35.5	34453685010072459	1487511072432	1	1	14.5	71.5	1	2333.5	1	61	668.5	1	1	1057	10244.5	21421	55727.5	88447	799	1	1	6843963171864976598	1	1	1	298	1
68653636337931097	14771401151246747869	12236148022553120681	160.75	45.2709	9635603008648383983	NaN	14263976815223664791	40	34453685010072459	1474092602352	1	1	56.5	1693	1	8.5	1	1	1	1	1	19	169	58	4	247	83.5	1	1	6843963171864976598	1	1	1	1	1
9702724967421813869	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
15552523380951821167	34453685010072459	6786087198600974901	161.194	40.9655	12012497998227712295	NaN	9728979009671476297	1	6843963171864976598	1481507990312	1	1	256	73	100	143.5	25	340	310	1	1	10214.5	23810.5	25849	50245	110116	1454.5	1	1	6843963171864976598	1	1	1	82	7
17710186355858817716	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
12982109506759899552	34453685010072459	8286680241381910257	1	1	7821691606952319426	NaN	8494060603423735195	1	6843963171864976598	1482818128354	1	71.5	73	14.5	46	203.5	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	19
16587249206215947911	14771401151246747869	10211136965740185639	-136.345	63.4648	13879545221706537604	NaN	5656685945142785391	1	6843963171864976598	1478651398335	1	1	56.5	140.5	1	1	1	2980	1	1	1	3548.5	1187.5	191.5	559	5483.5	437.5	1	1	6843963171864976598	1	1	1	1	1
8611478402124189380	14771401151246747869	10081650206047489431	174.577	58.5461	2029926236246850485	NaN	8494060603423735195	1	6843963171864976598	1486561182306	1	1	1	10	1	1	1	1	1	1	1	6424	15514	12440.5	1718.5	36094	854.5	1	1	6843963171864976598	1	1	1	1	1
6685492506491068555	14771401151246747869	11740872891748772811	197.328	67.6373	16902277723906496956	16770075927780327360	16244310678531341320	37	6843963171864976598	1464834362136	1	19	25	98.5	1	1	1	551.5	1	1	1	1261	2.5	2008	1081	4349.5	973	1	1	6843963171864976598	1	1	1	1	1
4709959524028248941	14771401151246747869	12526130277778747046	181.249	54.9175	17465306663676244936	12755145710545977312	5656685945142785391	35.5	14771401151246747869	1476922765215	1	269.5	22	43	1	33280	1	1	56.5	1	1	910	1	1	5246.5	6155.5	53.5	1	1	6843963171864976598	1	1	1	32.5	1
7331868530661020407	14771401151246747869	7638001807695707609	157.412	41.3081	7219839249627354230	NaN	5656685945142785391	1	6843963171864976598	1488566109110	1	1	1	17.5	1	143.5	1	1	1	1	1	3509.5	2422	3899.5	6445	16273	188.5	1	1	6843963171864976598	1	1	1	1	1
5284232396883994025	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6843963171864976598	1	1	1	1	1
14029005946140101153	34453685010072459	12526130277778747046	183.076	47.8182	7728751497385427149	NaN	3027499780234405913	1	6843963171864976598	1460286725169	1	1	5.5	32.5	1	1	1	22	11.5	1	1	1586.5	1267	1372	919	5141.5	490	1	1	6843963171864976598	1	1	1	1	1
2281071382470231933	14771401151246747869	7964771042264225782	1	1	7821691606952319426	9967942378838278611	8494060603423735195	32.5	14771401151246747869	1482146348461	1	1	35.5	31	2.5	31993	1	1	1	1	1	1	1	1607.5	1244.5	2851	71.5	1	1	6843963171864976598	1	1	1	1	2.5
