c_02	c_1	c_2	n_1	n_2	c_3	c_4	c_5	n_3	c_6	t_1	n_4	n_5	n_6	n_7	n_8	n_9	n_10	n_11	n_12	n_13	n_14
13830761597211956962	34453685010072459	13353560062858574386	170.894	35.7871	16870020786991271308	NaN	9203211364990347262	34	6843963171864976598	1434275187432	2.5	515.5	58	124	92.5	2.5	98.5	91	25	1	1
13842838073267883488	34453685010072459	3113004363984367867	159.967	48.3771	10323229920189365254	NaN	9203211364990347262	25	6843963171864976598	1465007445352	2.5	346	188.5	7	3208	1	1	4762	56.5	1	1
11412774174012864349	14771401151246747869	7964771042264225782	183.325	47.7893	7728751497385427149	5934422841821369788	16061938699691906071	29.5	6843963171864976598	1466693249312	2.5	307	104.5	494.5	838	1	1	676	68.5	1	1
13045180540782643501	34453685010072459	13052183550112605847	181.813	48.0369	12855404259964902474	9684818045874889294	7941305549320701127	37	6843963171864976598	1467296197354	2.5	64	71.5	1	1	4	40	1	1	1	1
12189756503940634630	34453685010072459	3659863142344469883	185.915	61.4423	4653498299011253430	5701778913501848846	5656685945142785391	31	6843963171864976598	1476351436335	2.5	3979	29.5	1177	626.5	5.5	2.5	21613	151	1	1
6940830642914150892	34453685010072459	10561729390725307796	165.778	57.9966	13480366487271802578	NaN	9203211364990347262	1	6843963171864976598	1477814701306	2.5	1	1	1	1	1	1	1	1	1	1
11727151848416822275	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
2697367018682119945	34453685010072459	12526130277778747046	156.81	46.3265	5254152639744384658	NaN	3027499780234405913	1	6843963171864976598	1486899867136	2.5	89.5	16	367	461.5	1	7	611.5	46	32.5	1
9738632386902571591	34453685010072459	7265916326799606203	158.174	44.9621	18126983580482474217	3358140272999170621	5656685945142785391	38.5	6843963171864976598	1487409409215	2.5	17.5	5.5	14.5	1	8.5	71.5	8.5	4	1	1
11019673956768289969	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
15119710250265643827	34453685010072459	10042331214081538537	196.574	71.2232	6415947345831121354	NaN	3027499780234405913	37	6843963171864976598	1457151509110	2.5	103	4	218.5	85	2.5	2.5	3206.5	25	1	1
13140076929972132145	14771401151246747869	3875281194045982152	122.985	66.8762	1480553952887936177	13049598175692512819	5656685945142785391	1	6843963171864976598	1461042628169	2.5	1	1	1	1	1	1	1	1	1	1
9740760642679584529	34453685010072459	10211136965740185639	166.766	30.9712	6084327807447204038	NaN	5656685945142785391	28	6843963171864976598	1462354191461	2.5	283	83.5	427	151	1	1	244	58	1	1
8481480072735662910	34453685010072459	800332734258636227	172.381	46.8583	18312104889363715121	4532628721693778760	9203211364990347262	28	14771401151246747869	1463817422368	2.5	382	49	113.5	2183.5	7	1	2839	56.5	26.5	1
6943862055485110228	34453685010072459	5712530781800467921	132.462	66.6824	7431924554772899137	7678693566015155663	16256945696872958129	29.5	6843963171864976598	1464247047289	2.5	2549.5	20.5	263.5	215.5	1	1	664	86.5	29.5	1
17723830409306791471	34453685010072459	13882554632700455398	182.882	43.8284	4553890718153198301	12289579605623167507	8563924356941094857	34	6843963171864976598	1467529575254	2.5	527.5	62.5	2365	37	1	2.5	626.5	73	17.5	1
3192539616737765282	34453685010072459	13882554632700455398	189.055	66.8312	2484761860878820743	NaN	8494060603423735195	1	6843963171864976598	1474721935315	2.5	32.5	4	7	56.5	1	1	7	2.5	1	1
7472852691523218086	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
6715094021133272081	14771401151246747869	NaN	1	1	NaN	NaN	NaN	1	6843963171864976598	NaN	2.5	1	1	1	1	1	1	1	1	1	1
