c_02	n_1	n_2	n_3	n_4	n_5	n_6	n_7	n_8	n_9
5599729593004641421	133	2.5	133	1	1	1	1	1	1
15362065367249169934	1	1	1	1	1	1	1	1	1
6905741667555928194	1	1	1	1	1	1	28	1	1
1212235314197095215	4000	13	3757	1	1	244	1	1	1
4748997428668210631	839.5	4	1	1	839.5	1	1	1	1
8616039018745160913	12193	7	5414.5	6779.5	1	1	1	1	1
1618846511183194143	19564	23.5	1	5116	6302.5	8147.5	200.5	1	1
17139928103469722040	122.5	2.5	122.5	1	1	1	1	1	1
6577536554345554226	1	1	1	1	1	1	1	1	1
15685713607208810426	1	1	1	1	1	1	1	1	1
16027348421651066745	1	1	1	1	1	1	1	1	1
3463908082805895758	7660	16	1	491.5	1	7169.5	1	1	1
8659404461072490842	77195.5	124	37990	2684.5	4432	32092	1034.5	1	1
14060095673921219168	20203	35.5	658	1	6661	12886	325	1	1
13579572935873721061	685670	79	14447.5	88483	339154	243589	17077	1	1
5404553720733643524	53114.5	52	8537.5	12815.5	20468.5	11296	284.5	1	1
5801605961069905532	1249	7	1	1	1249	1	8.5	1	1
17630802488871933014	79652.5	52	7774	6865	13052.5	51964	3835	1	1
17445690319510932172	10108	8.5	1	1	1	10108	2.5	1	1
18046626499217939851	1	1	1	1	1	1	1	1	1
10519939351144491034	36601	28	12998.5	8201.5	3737.5	11666.5	179.5	1	1
16765718956633435083	1	1	1	1	1	1	1	1	1
14853261762261637008	1	1	1	1	1	1	1	1	1
10985035309422731134	1	1	1	1	1	1	1	1	1
7778323534484579949	1	1	1	1	1	1	1	1	1
14028678689334257120	1	1	1	1	1	1	1	1	1
4660000841511893073	1	1	1	1	1	1	1	1	1
6337716542299438686	1	1	1	1	1	1	1	1	1
16530087400711084880	5219.5	16	1	691	2300.5	2230	1	1	1
4237905541522948998	1	1	1	1	1	1	1	1	1
11245773122680222418	83633.5	26.5	1	8.5	47072.5	36554.5	905.5	1	1
4037912146800716185	184	2.5	1	1	1	184	1	1	1
9798102498955794365	103	2.5	1	103	1	1	1	1	1
8036453440071939756	303230	82	1213	75535	197050	29435.5	5638	1	1
1347322444448247112	7150	41.5	1	4184.5	2122	845.5	19	1	1
9465183427506760242	112900	59.5	1	35921.5	71425	5555.5	2359	1	1
13512167810166492740	343676	112	1	116692	168403	58583.5	392.5	1	1
4664250571136762334	367492	79	31744	21445	138914	175392	451	1	1
5740778459145703904	15575.5	17.5	1	226	1	15350.5	1	1	1
16028161556337789689	1	1	1	1	1	1	1	1	1
17927232780415139612	1	1	1	1	1	1	1	1	1
2320092923060362450	1	1	1	1	1	1	1	1	1
1632371260182710424	42187	58	29776	9556	2510.5	347.5	1	1	1
16584009993689064076	16513	37	2629	29.5	8048.5	5809	1	1	1
12341825938752543960	202252	76	418	70205.5	54985	76646.5	512.5	1	1
7105538305875054825	7456	19	3674.5	1	559	3224.5	374.5	1	1
5817912573726763699	11489.5	28	5974	2057.5	2926	535	1	1	1
8545960791043334351	29684.5	25	9955	15790	428.5	3514	691	1	1
3668029189774052271	5066.5	4	5066.5	1	1	1	107.5	1	1
17483056726016968434	1	1	1	1	1	1	1	1	1
11140382563936152911	15734.5	28	1	4459	7747	3530.5	187	1	1
13335307525104484187	1553.5	5.5	1	1	1	1553.5	1	1	1
17850260018933289130	1	1	1	1	1	1	1	1	1
5804225105885106187	1	1	1	1	1	1	1	1	1
16095442696514010680	16216	29.5	8068	1	1166.5	6983.5	932.5	1	1
10506006595355088534	5755	4	1	1	1	5755	142	1	1
6554077451409120625	47183.5	46	20794	104.5	12707.5	13580.5	104.5	1	1
16998409194727126609	1	1	1	1	1	1	1	1	1
6129723835960256249	1	1	1	1	1	1	1	1	1
7972856324763214538	250645	76	2396.5	53803	45340	149108	5438.5	1	1
17985435967359874227	1	1	1	1	1	1	1	1	1
18160207600802829918	1207	7	1	1	539.5	668.5	1	1	1
23707984209947932	1661.5	10	1	1465	95.5	103	1	1	1
4230215505506620873	85	5.5	1	1	14.5	71.5	1	1	1
13385697299555029039	546930	115	72595	54307	122634	297397	14413	1	1
10559976554115728563	46972	101.5	1790.5	13561	19822	11801.5	214	1	1
8563720246043716433	48011.5	23.5	41660.5	1	1	6352	530.5	1	1
8001250474812098766	22852	17.5	1	1	12973	9880	800.5	1	1
3486781329418406887	1	1	1	1	1	1	1	1	1
14532513682911498137	1858	11.5	1	106	1463.5	290.5	19	1	1
2443985298487440654	1	1	1	1	1	1	1	1	1
3496562197186417060	728.5	2.5	1	1	728.5	1	1	1	1
1373282278388017830	3889	8.5	1	1	2197	1693	1	1	1
15869823821018619637	1	1	1	1	1	1	1	1	1
4889547273609183752	8090.5	13	1	742	1865.5	5485	167.5	1	1
10699430007658478720	983.5	2.5	1	1	1	983.5	1	1	1
5011064087174871968	39592	127	218.5	11555.5	14197	13624	5.5	1	1
4049276419159974115	6230.5	14.5	1	1	5687.5	544	13	1	1
9813155950770620401	1	1	1	1	1	1	1	1	1
15124747706519456195	52316.5	61	1	12245.5	9326.5	30746.5	617.5	1	1
8194106532661709970	812.5	11.5	1	1	182.5	631	1	1	1
8516080986934988170	104.5	8.5	1	1	104.5	1	1	1	1
1131714471318922730	8833	13	1	1	2987.5	5846.5	1	1	1
17992015774883060503	79	2.5	1	1	1	79	1	1	1
