n_1	n_2	n_3	t_01	c_02	c_01
1	1	1	1493920990765	17495809769729953216	10629577822761845060
1	1	1	1493920990765	3108827984904279222	10629577822761845060
1	1	1	1493920990777	8664718901548424607	10629577822761845060
1	1	1	1493920990798	16978522782667442622	10629577822761845060
1	1	1	1493921000519	1734898348674212040	9940216409626557396
1	1	1	1493921008658	16051887458063369019	11541293199456209901
1	1	1	1493921012685	18097213305980711748	8972806254538274416
1	1	1	1493921012756	2899741242812921018	8972806254538274416
1	1	1	1493921012778	6533556495187647291	8972806254538274416
1	1	1	1493921012792	14915222074835477356	8972806254538274416
8.5	1	1	1493921013559	4969518460496101121	16009065410246277338
5.5	1	1	1493921013565	5849870178431849246	16009065410246277338
1	1	1	1493921013570	12263473985926685920	16009065410246277338
8.5	1	1	1493921013627	14236555715905867659	16009065410246277338
1	1	1	1493921013631	3042012465427496137	16009065410246277338
1	1	1	1493921013634	18097213305980711748	16009065410246277338
5.5	1	1	1493921013684	9815564106453972898	16009065410246277338
8.5	1	1	1493921013701	9149459308486497662	16009065410246277338
1	1	1	1493921015519	14915222074835477356	2560450112875618320
1	1	1	1493921015536	14475392532262432119	2560450112875618320
1	1	1	1493921015650	8664718901548424607	2560450112875618320
1	1	1	1493921015721	7423276310047235352	2560450112875618320
1	1	1	1493921015723	5849870178431849246	2560450112875618320
1	1	1	1493921015739	4969518460496101121	2560450112875618320
1	1	1	1493921016551	17495809769729953216	1223783583524749642
1	1	1	1493921016552	10220647465156007646	1223783583524749642
1	1	1	1493921016552	6693655700021304589	1223783583524749642
1	1	1	1493921016632	2156519087511073505	1223783583524749642
1	1	1	1493921016672	12620260354460886254	1223783583524749642
1	1	1	1493921016773	10026911179654661939	1223783583524749642
1	1	1	1493921029511	15192125046261217567	2985445252451961379
1	1	1	1493921029517	1287641214494365304	2985445252451961379
1	1	1	1493921029521	9815564106453972898	2985445252451961379
1	1	1	1493921029533	8713501508307098951	2985445252451961379
1	1	1	1493921029546	18001983805765228053	2985445252451961379
1	1	1	1493921029553	8664718901548424607	2985445252451961379
1	1	1	1493921029554	10220647465156007646	2985445252451961379
1	1	1	1493921029556	11596807825546273725	2985445252451961379
1	1	1	1493921029559	1287641214494365304	2985445252451961379
1	1	1	1493921029563	12620260354460886254	2985445252451961379
1	1	1	1493921029565	17825877032759025809	2985445252451961379
1	1	1	1493921029567	10503830746502467854	2985445252451961379
1	1	1	1493921029567	14475392532262432119	2985445252451961379
1	1	1	1493921029569	114462917113543972	2985445252451961379
1	1	1	1493921029591	1287641214494365304	2985445252451961379
1	1	1	1493921029592	9285570871037349301	2985445252451961379
1	1	1	1493921029597	14145455151806321586	2985445252451961379
1	1	1	1493921029598	10519939351144491034	2985445252451961379
1	1	1	1493921029605	3607925427713835917	2985445252451961379
1	1	1	1493921029605	7345001977504838423	2985445252451961379
1	1	1	1493921029617	1287641214494365304	2985445252451961379
1	1	1	1493921029621	6064245455908382139	2985445252451961379
1	1	1	1493921029623	1522857077981898057	2985445252451961379
1	1	1	1493921029624	8925619398163065506	2985445252451961379
1	1	1	1493921029630	18100011892246700331	2985445252451961379
1	1	1	1493921029643	15757873413253671988	2985445252451961379
1	1	1	1493921029643	6638119784552464452	2985445252451961379
1	1	1	1493921029656	13514137305519670789	2985445252451961379
1	1	1	1493921029663	9740760642679584529	2985445252451961379
1	1	1	1493921029670	10519939351144491034	2985445252451961379
1	1	1	1493921029677	13514137305519670789	2985445252451961379
1	1	1	1493921029680	4061834014911554768	2985445252451961379
1	1	1	1493921029685	9815564106453972898	2985445252451961379
1	1	1	1493921029703	7423276310047235352	2985445252451961379
1	1	1	1493921029712	9149459308486497662	2985445252451961379
1	1	1	1493921029732	3607925427713835917	2985445252451961379
1	1	1	1493921029733	2899741242812921018	2985445252451961379
1	1	1	1493921029739	579057270793138854	2985445252451961379
1	1	1	1493921029740	17495809769729953216	2985445252451961379
1	1	1	1493921029745	7345001977504838423	2985445252451961379
1	1	1	1493921029749	13514137305519670789	2985445252451961379
1	1	1	1493921029757	17007674655026215659	2985445252451961379
1	1	1	1493921029761	13631984110692655651	2985445252451961379
1	1	1	1493921029772	10519939351144491034	2985445252451961379
1	1	1	1493921029772	18306031108979394293	2985445252451961379
1	1	1	1493921029782	10793114528339254987	2985445252451961379
1	1	1	1493921029782	4969518460496101121	2985445252451961379
1	1	1	1493921029784	2797798859190004553	2985445252451961379
1	1	1	1493921029787	3120545506391374495	2985445252451961379
1	1	1	1493921029800	8713501508307098951	2985445252451961379
1	1	1	1493921030584	10519939351144491034	4781546092088796383
1	1	1	1493921030586	1734898348674212040	324651700917586287
1	1	1	1493921030612	2654139698511244677	324651700917586287
1	1	1	1493921030672	12620260354460886254	324651700917586287
1	1	1	1493921030704	10503830746502467854	324651700917586287
1	1	1	1493921030717	6693655700021304589	324651700917586287
1	1	1	1493921030718	18097213305980711748	324651700917586287
1	1	1	1493921030724	16051887458063369019	324651700917586287
1	1	1	1493921030729	13579572935873721061	324651700917586287
1	1	1	1493921030730	16051887458063369019	4781546092088796383
1	1	1	1493921030735	15460449360978142033	324651700917586287
1	1	1	1493921030736	9544145203823252426	324651700917586287
1	1	1	1493921030754	6533556495187647291	324651700917586287
1	1	1	1493921030758	1201322781187110448	324651700917586287
1	1	1	1493921030794	10503830746502467854	4781546092088796383
1	1	1	1493921032600	14145455151806321586	168890374616375414
1	1	1	1493921036504	17495809769729953216	9163959131608125190
1	1	1	1493921036518	1772724425027852199	9163959131608125190
1	1	1	1493921036534	2144863439434982001	9163959131608125190
1	1	1	1493921036579	1287641214494365304	9163959131608125190
1	1	1	1493921036580	14839134753992642835	6130433469070255539
1	1	1	1493921036584	10961331361033071903	9163959131608125190
1	1	1	1493921036617	9740760642679584529	6130433469070255539
1	1	1	1493921036628	10961331361033071903	6130433469070255539
1	1	1	1493921036648	6895642774981531100	9163959131608125190
1	1	1	1493921036662	114462917113543972	9163959131608125190
1	1	1	1493921036671	2899741242812921018	9163959131608125190
1	1	1	1493921036676	18100011892246700331	9163959131608125190
1	1	1	1493921036676	8664718901548424607	6130433469070255539
1	1	1	1493921036678	9544145203823252426	9163959131608125190
1	1	1	1493921036685	5757841034815720035	9163959131608125190
1	1	1	1493921036686	6693655700021304589	9163959131608125190
1	1	1	1493921036690	14969854389068346653	9163959131608125190
1	1	1	1493921036692	10148026698345351054	9163959131608125190
1	1	1	1493921036698	12620260354460886254	9163959131608125190
1	1	1	1493921036698	15757873413253671988	9163959131608125190
1	1	1	1493921036704	7929648770000123965	9163959131608125190
1	1	1	1493921036714	15401426531572395691	9163959131608125190
1	1	1	1493921036719	12263473985926685920	9163959131608125190
1	1	1	1493921036720	9149459308486497662	9163959131608125190
1	1	1	1493921036730	18195411621840950889	9163959131608125190
1	1	1	1493921036740	2144863439434982001	9163959131608125190
1	1	1	1493921036740	8508596223740094759	9163959131608125190
1	1	1	1493921036775	12263473985926685920	9163959131608125190
1	1	1	1493921036775	4477716336205849670	9163959131608125190
1	1	1	1493921036796	8664718901548424607	9163959131608125190
1	1	1	1493921038777	12620260354460886254	3439573664541399329
1	1	1	1493921038792	14145455151806321586	3439573664541399329
1	1	1	1493921042520	6693655700021304589	10414912290564017381
1	1	1	1493921042634	6693655700021304589	10414912290564017381
